id,center_x,center_y,radius,text_pixels,fill_ratio,edge_support,crop_path
221,1393,493,43,248,0.1191,0.3331,output/circles_output_pnid_v2\pnid_cropped_upscaled\crops\circle_221.png
222,873,647,43,84,0.1369,0.3294,output/circles_output_pnid_v2\pnid_cropped_upscaled\crops\circle_222.png
223,118,395,43,148,0.1379,0.3072,output/circles_output_pnid_v2\pnid_cropped_upscaled\crops\circle_223.png
224,75,269,43,27,0.1074,0.322,output/circles_output_pnid_v2\pnid_cropped_upscaled\crops\circle_224.png
225,960,264,44,265,0.0766,0.9296,output/circles_output_pnid_v2\pnid_cropped_upscaled\crops\circle_225.png
226,683,98,44,563,0.3714,0.9007,output/circles_output_pnid_v2\pnid_cropped_upscaled\crops\circle_226.png
227,1036,801,44,104,0.1618,0.85,output/circles_output_pnid_v2\pnid_cropped_upscaled\crops\circle_227.png
228,780,381,44,196,0.2044,0.7741,output/circles_output_pnid_v2\pnid_cropped_upscaled\crops\circle_228.png
229,779,336,44,195,0.1652,0.7415,output/circles_output_pnid_v2\pnid_cropped_upscaled\crops\circle_229.png
230,842,364,44,538,0.3024,0.6656,output/circles_output_pnid_v2\pnid_cropped_upscaled\crops\circle_230.png
231,853,321,44,261,0.242,0.7126,output/circles_output_pnid_v2\pnid_cropped_upscaled\crops\circle_231.png
232,802,617,44,140,0.1879,0.5498,output/circles_output_pnid_v2\pnid_cropped_upscaled\crops\circle_232.png
233,917,387,44,102,0.1504,0.6945,output/circles_output_pnid_v2\pnid_cropped_upscaled\crops\circle_233.png
234,895,373,44,411,0.2266,0.7126,output/circles_output_pnid_v2\pnid_cropped_upscaled\crops\circle_234.png
235,628,259,44,80,0.1573,0.6149,output/circles_output_pnid_v2\pnid_cropped_upscaled\crops\circle_235.png
236,716,622,44,332,0.1552,0.6873,output/circles_output_pnid_v2\pnid_cropped_upscaled\crops\circle_236.png
237,1176,933,44,291,0.2493,0.6981,output/circles_output_pnid_v2\pnid_cropped_upscaled\crops\circle_237.png
238,450,282,44,384,0.2641,0.5896,output/circles_output_pnid_v2\pnid_cropped_upscaled\crops\circle_238.png
239,1131,839,44,205,0.2374,0.6511,output/circles_output_pnid_v2\pnid_cropped_upscaled\crops\circle_239.png
240,1281,1051,44,481,0.2673,0.7017,output/circles_output_pnid_v2\pnid_cropped_upscaled\crops\circle_240.png
241,467,179,44,493,0.171,0.5824,output/circles_output_pnid_v2\pnid_cropped_upscaled\crops\circle_241.png
